Education1,Edu1_Desc
0,No formal education
1,Yrs of elementary school
2,Yrs of elementary school
3,Yrs of elementary school
4,Yrs of elementary school
5,Yrs of elementary school
6,Yrs of elementary school
7,Yrs of elementary school
8,Yrs of elementary school
9,1 year of high school
10,2 yrs of high school
11,3 yrs of high school
12,4 yrs of high school
13,1 year of college
14,2 yrs of college
15,3 yrs of college
16,4 yrs of college
17,5 or more yrs of college
99,Not stated
