Age,Age_Desc
1,Under 1 mth
2,1 - 11 mths
3,1 year
4,2 yrs
5,3 yrs
6,4 yrs
7,5 - 9 yrs
8,10 - 14 yrs
9,15 - 19 yrs
10,20 - 24 yrs
11,25 - 29 yrs
12,30 - 34 yrs
13,35 - 39 yrs
14,40 - 44 yrs
15,45 - 49 yrs
16,50 - 54 yrs
17,55 - 59 yrs
18,60 - 64 yrs
19,65 - 69 yrs
20,70 - 74 yrs
21,75 - 79 yrs
22,80 - 84 yrs
23,85 - 89 yrs
24,90 - 94 yrs
25,95 - 99 yrs
26,100 yrs and over
27,Age not stated
