Race,Race_Desc
1,White
2,Black
3,American Indian (includes Aleuts and Eskimos)
4,Chinese
5,Japanese
6,Hawaiian (includes Part-Hawaiian)
7,Filipino
18,Asian Indian
28,Korean
38,Samoan
48,Vietnamese
58,Guamanian
68,Other Asian or Pacific Islander
78,Combined other Asian or Pacific Islander
